,environmentsatisfaction,jobsatisfaction,worklifebalance,age,businesstravel,department,distancefromhome,education,educationfield,gender,joblevel,jobrole,maritalstatus,monthlyincome,numcompaniesworked,percentsalaryhike,stockoptionlevel,totalworkingyears,trainingtimeslastyear,yearsatcompany,yearssincelastpromotion,yearswithcurrmanager,jobinvolvement,performancerating,attrition,retirementtype,resignationreason
0,3.0,4.0,2.0,51,Travel_Rarely,Sales,6,2,Life Sciences,Female,1,Healthcare Representative,Married,131160,1.0,11,0,1.0,6,1,0,0,3,3,No,no aplica,no aplica
1,3.0,2.0,4.0,31,Travel_Frequently,Research & Development,10,1,Life Sciences,Female,1,Research Scientist,Single,41890,0.0,23,1,6.0,3,5,1,4,2,4,No,no aplica,no aplica
2,2.0,2.0,1.0,32,Travel_Frequently,Research & Development,17,4,Other,Male,4,Sales Executive,Married,193280,1.0,15,3,5.0,2,5,0,3,3,3,No,no aplica,no aplica
3,4.0,4.0,3.0,38,Non-Travel,Research & Development,2,5,Life Sciences,Male,3,Human Resources,Married,83210,3.0,11,3,13.0,5,8,7,5,2,3,No,no aplica,no aplica
4,4.0,1.0,3.0,32,Travel_Rarely,Research & Development,10,1,Medical,Male,1,Sales Executive,Single,23420,4.0,12,2,9.0,2,6,0,4,3,3,No,no aplica,no aplica
5,3.0,2.0,2.0,46,Travel_Rarely,Research & Development,8,3,Life Sciences,Female,4,Research Director,Married,40710,3.0,13,0,28.0,5,7,7,7,3,3,No,no aplica,no aplica
6,1.0,3.0,1.0,28,Travel_Rarely,Research & Development,11,2,Medical,Male,2,Sales Executive,Single,58130,2.0,20,1,5.0,2,0,0,0,3,4,No,no aplica,no aplica
7,1.0,2.0,3.0,29,Travel_Rarely,Research & Development,18,3,Life Sciences,Male,2,Sales Executive,Married,31430,2.0,22,3,10.0,2,0,0,0,3,4,No,no aplica,no aplica
8,2.0,4.0,3.0,31,Travel_Rarely,Research & Development,1,3,Life Sciences,Male,3,Laboratory Technician,Married,20440,0.0,21,0,10.0,2,9,7,8,3,4,No,no aplica,no aplica
9,2.0,1.0,3.0,25,Non-Travel,Research & Development,7,4,Medical,Female,4,Laboratory Technician,Divorced,134640,1.0,13,1,6.0,2,6,1,5,3,3,No,no aplica,no aplica
10,3.0,4.0,3.0,45,Travel_Rarely,Research & Development,17,2,Medical,Male,2,Laboratory Technician,Married,79910,0.0,13,2,21.0,2,20,4,10,2,3,No,no aplica,no aplica
11,3.0,4.0,3.0,36,Travel_Rarely,Research & Development,28,1,Life Sciences,Male,1,Laboratory Technician,Married,33770,0.0,12,2,16.0,2,15,10,11,3,3,No,no aplica,no aplica
12,4.0,1.0,3.0,55,Travel_Rarely,Research & Development,14,4,Life Sciences,Female,1,Sales Executive,Single,55380,0.0,17,0,37.0,2,36,4,13,3,3,No,no aplica,no aplica
13,1.0,2.0,2.0,47,Non-Travel,Research & Development,1,1,Medical,Male,1,Research Scientist,Married,57620,1.0,11,2,10.0,4,10,9,9,2,3,No,no aplica,no aplica
14,4.0,4.0,2.0,28,Travel_Rarely,Research & Development,1,3,Life Sciences,Male,1,Manufacturing Director,Married,25920,1.0,14,0,5.0,2,5,0,4,3,3,No,no aplica,no aplica
15,3.0,4.0,4.0,37,Travel_Rarely,Research & Development,1,3,Life Sciences,Male,2,Healthcare Representative,Married,53460,4.0,11,0,7.0,2,5,0,1,3,3,No,no aplica,no aplica
16,4.0,3.0,4.0,21,Travel_Rarely,Research & Development,3,2,Life Sciences,Male,1,Laboratory Technician,Single,42130,1.0,12,3,3.0,3,3,1,0,2,3,No,no aplica,no aplica
17,1.0,4.0,3.0,37,Non-Travel,Research & Development,1,3,Medical,Male,2,Sales Executive,Divorced,41270,2.0,13,1,15.0,2,5,0,2,3,3,No,no aplica,no aplica
18,2.0,2.0,2.0,35,Travel_Rarely,Sales,7,4,Life Sciences,Male,1,Sales Representative,Divorced,24380,7.0,16,0,10.0,5,7,6,2,2,3,No,no aplica,no aplica
19,1.0,1.0,3.0,38,Travel_Rarely,Research & Development,8,3,Life Sciences,Female,1,Manager,Divorced,68700,1.0,11,1,8.0,5,8,7,7,3,3,No,no aplica,no aplica
20,3.0,2.0,1.0,26,Travel_Frequently,Research & Development,1,4,Other,Male,2,Laboratory Technician,Divorced,104470,1.0,18,0,6.0,3,6,1,4,3,3,No,no aplica,no aplica
21,1.0,2.0,2.0,50,Travel_Rarely,Sales,8,4,Life Sciences,Male,1,Research Scientist,Divorced,96670,3.0,23,0,28.0,2,10,1,6,2,4,No,no aplica,no aplica
22,3.0,3.0,2.0,53,Travel_Rarely,Research & Development,11,4,Life Sciences,Female,2,Research Scientist,Married,21480,3.0,11,0,21.0,2,5,1,3,3,3,No,no aplica,no aplica
23,2.0,3.0,3.0,42,Travel_Rarely,Research & Development,4,4,Life Sciences,Male,1,Manufacturing Director,Married,89260,1.0,14,0,10.0,4,20,11,6,1,3,No,no aplica,no aplica
24,2.0,4.0,2.0,29,Travel_Frequently,Research & Development,16,4,Medical,Male,1,Laboratory Technician,Single,65130,1.0,11,1,10.0,2,10,0,9,3,3,No,no aplica,no aplica
25,2.0,4.0,3.0,55,Travel_Rarely,Research & Development,1,4,Other,Female,1,Research Scientist,Married,67990,3.0,11,0,12.0,2,10,0,8,3,3,No,no aplica,no aplica
26,1.0,1.0,3.0,26,Travel_Frequently,Research & Development,9,3,Life Sciences,Female,1,Manager,Married,162910,1.0,22,0,5.0,3,5,3,3,3,4,No,no aplica,no aplica
27,4.0,4.0,3.0,37,Travel_Rarely,Sales,5,1,Marketing,Male,1,Research Scientist,Single,27050,1.0,11,0,17.0,2,17,5,7,3,3,No,no aplica,no aplica
28,4.0,3.0,1.0,44,Travel_Frequently,Research & Development,1,2,Medical,Male,2,Research Scientist,Divorced,103330,3.0,14,1,19.0,2,1,0,0,2,3,No,no aplica,no aplica
29,4.0,4.0,3.0,38,Travel_Rarely,Sales,2,3,Marketing,Female,1,Manager,Divorced,44480,9.0,12,0,10.0,3,2,1,2,2,3,No,no aplica,no aplica
30,1.0,2.0,3.0,26,Travel_Rarely,Research & Development,4,3,Medical,Male,3,Research Scientist,Divorced,68540,2.0,11,0,5.0,5,3,0,2,2,3,No,no aplica,no aplica
31,4.0,4.0,3.0,28,Travel_Rarely,Research & Development,7,3,Other,Male,1,Human Resources,Single,96370,1.0,13,0,5.0,6,5,0,2,2,3,No,no aplica,no aplica
32,3.0,1.0,3.0,49,Travel_Frequently,Research & Development,1,1,Medical,Female,2,Research Scientist,Single,35910,9.0,13,0,22.0,2,3,1,2,3,3,No,no aplica,no aplica
33,3.0,2.0,3.0,36,Travel_Rarely,Sales,5,3,Technical Degree,Male,3,Sales Executive,Single,54050,4.0,14,0,10.0,2,8,7,7,3,3,No,no aplica,no aplica
34,4.0,2.0,2.0,31,Travel_Frequently,Research & Development,9,4,Medical,Male,1,Sales Executive,Divorced,46840,1.0,16,1,2.0,4,2,2,2,3,3,No,no aplica,no aplica
35,4.0,4.0,3.0,26,Travel_Rarely,Research & Development,8,3,Medical,Male,2,Manager,Single,157870,1.0,12,2,8.0,5,8,7,4,3,3,No,no aplica,no aplica
36,2.0,4.0,2.0,37,Travel_Frequently,Sales,9,1,Marketing,Male,1,Laboratory Technician,Married,15140,1.0,14,0,4.0,3,4,1,2,3,3,No,no aplica,no aplica
37,3.0,2.0,4.0,42,Travel_Frequently,Sales,2,2,Marketing,Male,3,Research Director,Married,29560,5.0,13,0,23.0,2,20,4,8,3,3,No,no aplica,no aplica
38,3.0,3.0,3.0,18,Travel_Rarely,Research & Development,1,4,Life Sciences,Male,1,Sales Executive,Single,23350,1.0,14,2,0.0,3,0,0,0,2,3,No,no aplica,no aplica
39,3.0,2.0,2.0,35,Travel_Rarely,Sales,20,2,Life Sciences,Male,1,Laboratory Technician,Married,51540,0.0,19,0,12.0,2,11,6,9,2,3,No,no aplica,no aplica
40,3.0,4.0,3.0,36,Travel_Frequently,Research & Development,8,3,Other,Female,3,Sales Executive,Married,69620,4.0,12,2,4.0,2,1,0,0,2,3,No,no aplica,no aplica
41,4.0,2.0,3.0,51,Travel_Rarely,Research & Development,2,3,Life Sciences,Male,2,Laboratory Technician,Divorced,56750,5.0,13,0,13.0,2,4,1,2,2,3,No,no aplica,no aplica
42,4.0,2.0,3.0,41,Travel_Rarely,Research & Development,29,1,Life Sciences,Male,1,Laboratory Technician,Single,23790,1.0,12,0,22.0,6,22,0,4,3,3,No,no aplica,no aplica
43,4.0,3.0,3.0,18,Travel_Rarely,Sales,7,3,Life Sciences,Male,1,Research Scientist,Single,38120,1.0,15,0,0.0,3,0,0,0,3,3,No,no aplica,no aplica
44,2.0,1.0,3.0,28,Travel_Rarely,Research & Development,9,3,Medical,Male,1,Sales Representative,Single,46480,0.0,23,2,9.0,2,8,0,7,2,4,No,no aplica,no aplica
45,2.0,4.0,2.0,31,Travel_Rarely,Research & Development,8,1,Technical Degree,Male,1,Manufacturing Director,Married,29360,4.0,12,1,10.0,2,8,7,7,3,3,No,no aplica,no aplica
46,3.0,4.0,2.0,39,Travel_Rarely,Sales,5,4,Marketing,Female,2,Human Resources,Divorced,21050,0.0,20,0,19.0,3,18,3,7,3,4,No,no aplica,no aplica
47,2.0,2.0,3.0,36,Non-Travel,Research & Development,5,4,Life Sciences,Male,1,Sales Executive,Married,85780,7.0,21,0,11.0,4,9,0,8,3,4,No,no aplica,no aplica
48,4.0,3.0,2.0,32,Travel_Rarely,Sales,2,3,Marketing,Male,2,Laboratory Technician,Married,27060,1.0,21,1,13.0,4,13,4,8,3,4,No,no aplica,no aplica
49,1.0,2.0,3.0,38,Travel_Rarely,Research & Development,5,2,Life Sciences,Female,3,Research Scientist,Married,63840,3.0,19,2,19.0,4,10,0,1,2,3,No,no aplica,no aplica
50,4.0,3.0,3.0,58,Non-Travel,Research & Development,2,3,Life Sciences,Male,2,Manufacturing Director,Divorced,39680,2.0,13,2,12.0,3,5,1,2,2,3,No,no aplica,no aplica
51,3.0,4.0,3.0,31,Travel_Rarely,Research & Development,20,1,Technical Degree,Female,3,Research Scientist,Married,99070,0.0,13,1,6.0,3,5,0,3,2,3,No,no aplica,no aplica
52,1.0,1.0,3.0,31,Travel_Rarely,Sales,7,4,Marketing,Male,2,Sales Executive,Married,132250,3.0,21,1,9.0,2,2,1,0,3,4,No,no aplica,no aplica
53,1.0,1.0,3.0,45,Travel_Frequently,Research & Development,3,1,Medical,Female,1,Sales Executive,Divorced,35400,1.0,13,0,24.0,6,24,9,11,3,3,No,no aplica,no aplica
54,3.0,4.0,1.0,31,Travel_Rarely,Sales,16,4,Marketing,Female,2,Research Scientist,Divorced,28040,0.0,19,2,3.0,0,2,2,2,3,3,No,no aplica,no aplica
55,4.0,2.0,3.0,33,Travel_Frequently,Research & Development,9,3,Life Sciences,Male,4,Research Director,Married,193920,6.0,12,1,12.0,3,10,8,8,3,3,No,no aplica,no aplica
56,3.0,1.0,3.0,39,Travel_Rarely,Sales,1,4,Life Sciences,Male,1,Sales Executive,Married,196650,1.0,22,1,21.0,6,21,11,10,3,4,No,no aplica,no aplica
57,3.0,4.0,3.0,43,Travel_Frequently,Research & Development,7,4,Medical,Male,4,Research Scientist,Single,24390,0.0,15,0,9.0,2,8,1,7,3,3,No,no aplica,no aplica
58,3.0,3.0,3.0,49,Travel_Rarely,Research & Development,1,3,Life Sciences,Male,3,Manufacturing Director,Single,73140,7.0,22,0,25.0,2,7,0,7,3,4,No,no aplica,no aplica
59,3.0,2.0,2.0,52,Travel_Rarely,Research & Development,7,1,Life Sciences,Female,2,Research Scientist,Married,47740,2.0,18,1,11.0,2,8,7,7,3,3,No,no aplica,no aplica
60,3.0,2.0,2.0,27,Travel_Rarely,Research & Development,15,4,Medical,Male,3,Research Scientist,Single,39020,1.0,22,0,4.0,2,4,1,2,3,4,No,no aplica,no aplica
61,3.0,2.0,3.0,32,Travel_Rarely,Research & Development,1,3,Life Sciences,Male,3,Research Scientist,Married,26620,1.0,11,1,13.0,6,13,11,9,4,3,No,no aplica,no aplica
62,4.0,3.0,3.0,27,Travel_Rarely,Research & Development,13,2,Medical,Female,4,Research Director,Single,28560,1.0,12,2,5.0,5,5,0,4,4,3,No,no aplica,no aplica
63,4.0,4.0,3.0,31,Travel_Rarely,Sales,24,3,Life Sciences,Male,2,Healthcare Representative,Divorced,10810,4.0,11,3,13.0,4,7,1,7,4,3,No,no aplica,no aplica
64,1.0,4.0,2.0,32,Travel_Rarely,Research & Development,7,3,Technical Degree,Male,2,Healthcare Representative,Single,24720,7.0,13,0,10.0,2,7,0,7,3,3,No,no aplica,no aplica
65,1.0,4.0,2.0,28,Travel_Rarely,Research & Development,9,4,Medical,Male,1,Sales Executive,Married,56730,5.0,14,1,5.0,4,3,2,2,2,3,No,no aplica,no aplica
66,4.0,4.0,3.0,30,Travel_Rarely,Research & Development,13,3,Life Sciences,Female,4,Research Director,Married,41970,1.0,13,0,11.0,3,10,1,9,3,3,No,no aplica,no aplica
67,3.0,3.0,3.0,31,Travel_Frequently,Research & Development,2,1,Life Sciences,Female,1,Manager,Married,97130,1.0,17,0,10.0,5,10,8,9,2,3,No,no aplica,no aplica
68,3.0,4.0,3.0,39,Travel_Frequently,Research & Development,19,4,Medical,Female,1,Research Scientist,Married,20620,1.0,13,0,21.0,4,21,13,3,3,3,No,no aplica,no aplica
69,4.0,3.0,2.0,39,Travel_Rarely,Research & Development,1,1,Medical,Female,1,Laboratory Technician,Married,42840,4.0,17,1,12.0,0,1,0,0,3,3,No,no aplica,no aplica
70,2.0,4.0,2.0,33,Travel_Frequently,Sales,4,2,Life Sciences,Male,4,Research Scientist,Single,47880,3.0,11,1,9.0,0,7,0,1,3,3,No,no aplica,no aplica
71,4.0,3.0,3.0,47,Travel_Rarely,Research & Development,4,3,Life Sciences,Female,2,Healthcare Representative,Married,59060,4.0,23,0,21.0,4,3,1,1,4,4,No,no aplica,no aplica
72,3.0,3.0,4.0,43,Travel_Frequently,Research & Development,14,3,Medical,Female,5,Research Director,Divorced,38860,1.0,17,2,9.0,2,9,0,0,3,3,No,no aplica,no aplica
73,3.0,2.0,3.0,27,Non-Travel,Research & Development,2,3,Life Sciences,Male,1,Research Director,Married,168230,0.0,17,0,6.0,3,5,1,4,3,3,No,no aplica,no aplica
74,4.0,3.0,2.0,54,Travel_Frequently,Research & Development,1,4,Life Sciences,Male,2,Research Scientist,Single,29330,3.0,12,2,20.0,2,4,0,3,3,3,No,no aplica,no aplica
75,3.0,1.0,2.0,43,Travel_Rarely,Research & Development,7,2,Life Sciences,Female,2,Manager,Married,65000,8.0,23,0,10.0,3,1,0,0,3,4,No,no aplica,no aplica
76,4.0,4.0,3.0,45,Travel_Rarely,Sales,3,1,Marketing,Female,1,Sales Executive,Married,171740,9.0,14,1,12.0,6,10,9,8,3,3,No,no aplica,no aplica
77,2.0,4.0,2.0,40,Travel_Rarely,Research & Development,2,4,Other,Male,4,Research Scientist,Married,50330,2.0,14,2,6.0,6,4,0,2,3,3,No,no aplica,no aplica
78,2.0,1.0,2.0,29,Travel_Rarely,Research & Development,29,3,Medical,Female,1,Research Scientist,Married,23070,1.0,13,1,7.0,0,7,0,7,3,3,No,no aplica,no aplica
79,2.0,4.0,3.0,29,Travel_Rarely,Human Resources,8,3,Medical,Male,3,Sales Representative,Single,25870,0.0,22,2,4.0,3,3,2,2,3,4,No,no aplica,no aplica
80,4.0,3.0,3.0,30,Travel_Rarely,Research & Development,10,3,Life Sciences,Male,2,Research Scientist,Divorced,55070,1.0,12,2,10.0,2,10,1,2,2,3,No,no aplica,no aplica
81,2.0,2.0,3.0,27,Travel_Rarely,Research & Development,11,2,Medical,Male,1,Manager,Married,43930,1.0,18,1,8.0,2,8,0,7,2,3,No,no aplica,no aplica
82,4.0,4.0,2.0,37,Travel_Rarely,Sales,1,4,Life Sciences,Male,2,Healthcare Representative,Divorced,133480,7.0,14,0,8.0,4,6,0,4,3,3,No,no aplica,no aplica
83,3.0,4.0,3.0,38,Travel_Rarely,Research & Development,28,4,Medical,Male,1,Laboratory Technician,Divorced,65830,0.0,12,0,12.0,1,11,2,9,3,3,No,no aplica,no aplica
84,3.0,4.0,3.0,31,Travel_Rarely,Research & Development,6,3,Medical,Female,3,Manager,Single,81030,1.0,15,1,11.0,5,11,4,10,3,3,No,no aplica,no aplica
