age,monthlyincome,totalworkingyears,percentsalaryhike,distancefromhome,yearsatcompany,numcompaniesworked,yearswithcurrmanager,yearssincelastpromotion,trainingtimeslastyear,environmentsatisfaction_1.0,maritalstatus_Single,jobsatisfaction_1.0,businesstravel_Travel_Frequently,worklifebalance_3.0,educationfield_Life Sciences,environmentsatisfaction_4.0,jobsatisfaction_4.0,worklifebalance_1.0,environmentsatisfaction_3.0,jobsatisfaction_2.0,resignationreason_no aplica,department_Human Resources,retirementtype_no aplica,retirementtype_Resignation,businesstravel_Non-Travel,educationfield_Human Resources
51,131160,1.0,11,6,1,1.0,0,0,6,0,0,0,0,0,1,0,1,0,1,0,1,0,1,0,0,0
31,41890,6.0,23,10,5,0.0,4,1,3,0,1,0,1,0,1,0,0,0,1,1,1,0,1,0,0,0
32,193280,5.0,15,17,5,1.0,3,0,2,0,0,0,1,0,0,0,0,1,0,1,1,0,1,0,0,0
38,83210,13.0,11,2,8,3.0,5,7,5,0,0,0,0,1,1,1,1,0,0,0,1,0,1,0,1,0
32,23420,9.0,12,10,6,4.0,4,0,2,0,1,1,0,1,0,1,0,0,0,0,1,0,1,0,0,0
46,40710,28.0,13,8,7,3.0,7,7,5,0,0,0,0,0,1,0,0,0,1,1,1,0,1,0,0,0
28,58130,5.0,20,11,0,2.0,0,0,2,1,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0
29,31430,10.0,22,18,0,2.0,0,0,2,1,0,0,0,1,1,0,0,0,0,1,1,0,1,0,0,0
31,20440,10.0,21,1,9,0.0,8,7,2,0,0,0,0,1,1,0,1,0,0,0,1,0,1,0,0,0
25,134640,6.0,13,7,6,1.0,5,1,2,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,1,0
45,79910,21.0,13,17,20,0.0,10,4,2,0,0,0,0,1,0,0,1,0,1,0,1,0,1,0,0,0
36,33770,16.0,12,28,15,0.0,11,10,2,0,0,0,0,1,1,0,1,0,1,0,1,0,1,0,0,0
55,55380,37.0,17,14,36,0.0,13,4,2,0,1,1,0,1,1,1,0,0,0,0,1,0,1,0,0,0
47,57620,10.0,11,1,10,1.0,9,9,4,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0
28,25920,5.0,14,1,5,1.0,4,0,2,0,0,0,0,0,1,1,1,0,0,0,1,0,1,0,0,0
37,53460,7.0,11,1,5,4.0,1,0,2,0,0,0,0,0,1,0,1,0,1,0,1,0,1,0,0,0
21,42130,3.0,12,3,3,1.0,0,1,3,0,1,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0
37,41270,15.0,13,1,5,2.0,2,0,2,1,0,0,0,1,0,0,1,0,0,0,1,0,1,0,1,0
35,24380,10.0,16,7,7,7.0,2,6,5,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0,0,0
38,68700,8.0,11,8,8,1.0,7,7,5,1,0,1,0,1,1,0,0,0,0,0,1,0,1,0,0,0
26,104470,6.0,18,1,6,1.0,4,1,3,0,0,0,1,0,0,0,0,1,1,1,1,0,1,0,0,0
50,96670,28.0,23,8,10,3.0,6,1,2,1,0,0,0,0,1,0,0,0,0,1,1,0,1,0,0,0
53,21480,21.0,11,11,5,3.0,3,1,2,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0
42,89260,10.0,14,4,20,1.0,6,11,4,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0
29,65130,10.0,11,16,10,1.0,9,0,2,0,1,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0
55,67990,12.0,11,1,10,3.0,8,0,2,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0
26,162910,5.0,22,9,5,1.0,3,3,3,1,0,1,1,1,1,0,0,0,0,0,1,0,1,0,0,0
37,27050,17.0,11,5,17,1.0,7,5,2,0,1,0,0,1,0,1,1,0,0,0,1,0,1,0,0,0
44,103330,19.0,14,1,1,3.0,0,0,2,0,0,0,1,0,0,1,0,1,0,0,1,0,1,0,0,0
38,44480,10.0,12,2,2,9.0,2,1,3,0,0,0,0,1,0,1,1,0,0,0,1,0,1,0,0,0
26,68540,5.0,11,4,3,2.0,2,0,5,1,0,0,0,1,0,0,0,0,0,1,1,0,1,0,0,0
28,96370,5.0,13,7,5,1.0,2,0,6,0,1,0,0,1,0,1,1,0,0,0,1,0,1,0,0,0
49,35910,22.0,13,1,3,9.0,2,1,2,0,1,1,1,1,0,0,0,0,1,0,1,0,1,0,0,0
36,54050,10.0,14,5,8,4.0,7,7,2,0,1,0,0,1,0,0,0,0,1,1,1,0,1,0,0,0
31,46840,2.0,16,9,2,1.0,2,2,4,0,0,0,1,0,0,1,0,0,0,1,1,0,1,0,0,0
26,157870,8.0,12,8,8,1.0,4,7,5,0,1,0,0,1,0,1,1,0,0,0,1,0,1,0,0,0
37,15140,4.0,14,9,4,1.0,2,1,3,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0
42,29560,23.0,13,2,20,5.0,8,4,2,0,0,0,1,0,0,0,0,0,1,1,1,0,1,0,0,0
18,23350,0.0,14,1,0,1.0,0,0,3,0,1,0,0,1,1,0,0,0,1,0,1,0,1,0,0,0
35,51540,12.0,19,20,11,0.0,9,6,2,0,0,0,0,0,1,0,0,0,1,1,1,0,1,0,0,0
36,69620,4.0,12,8,1,4.0,0,0,2,0,0,0,1,1,0,0,1,0,1,0,1,0,1,0,0,0
51,56750,13.0,13,2,4,5.0,2,1,2,0,0,0,0,1,1,1,0,0,0,1,1,0,1,0,0,0
41,23790,22.0,12,29,22,1.0,4,0,6,0,1,0,0,1,1,1,0,0,0,1,1,0,1,0,0,0
18,38120,0.0,15,7,0,1.0,0,0,3,0,1,0,0,1,1,1,0,0,0,0,1,0,1,0,0,0
28,46480,9.0,23,9,8,0.0,7,0,2,0,1,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0
31,29360,10.0,12,8,8,4.0,7,7,2,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0
39,21050,19.0,20,5,18,0.0,7,3,3,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0
36,85780,11.0,21,5,9,7.0,8,0,4,0,0,0,0,1,1,0,0,0,0,1,1,0,1,0,1,0
32,27060,13.0,21,2,13,1.0,8,4,4,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0
38,63840,19.0,19,5,10,3.0,1,0,4,1,0,0,0,1,1,0,0,0,0,1,1,0,1,0,0,0
58,39680,12.0,13,2,5,2.0,2,1,3,0,0,0,0,1,1,1,0,0,0,0,1,0,1,0,1,0
31,99070,6.0,13,20,5,0.0,3,0,3,0,0,0,0,1,0,0,1,0,1,0,1,0,1,0,0,0
31,132250,9.0,21,7,2,3.0,0,1,2,1,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0
45,35400,24.0,13,3,24,1.0,11,9,6,1,0,1,1,1,0,0,0,0,0,0,1,0,1,0,0,0
31,28040,3.0,19,16,2,0.0,2,2,0,0,0,0,0,0,0,0,1,1,1,0,1,0,1,0,0,0
33,193920,12.0,12,9,10,6.0,8,8,3,0,0,0,1,1,1,1,0,0,0,1,1,0,1,0,0,0
39,196650,21.0,22,1,21,1.0,10,11,6,0,0,1,0,1,1,0,0,0,1,0,1,0,1,0,0,0
43,24390,9.0,15,7,8,0.0,7,1,2,0,1,0,1,1,0,0,1,0,1,0,1,0,1,0,0,0
49,73140,25.0,22,1,7,7.0,7,0,2,0,1,0,0,1,1,0,0,0,1,0,1,0,1,0,0,0
52,47740,11.0,18,7,8,2.0,7,7,2,0,0,0,0,0,1,0,0,0,1,1,1,0,1,0,0,0
27,39020,4.0,22,15,4,1.0,2,1,2,0,1,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0
32,26620,13.0,11,1,13,1.0,9,11,6,0,0,0,0,1,1,0,0,0,1,1,1,0,1,0,0,0
27,28560,5.0,12,13,5,1.0,4,0,5,0,1,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0
31,10810,13.0,11,24,7,4.0,7,1,4,0,0,0,0,1,1,1,1,0,0,0,1,0,1,0,0,0
32,24720,10.0,13,7,7,7.0,7,0,2,1,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0
28,56730,5.0,14,9,3,5.0,2,2,4,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0
30,41970,11.0,13,13,10,1.0,9,1,3,0,0,0,0,1,1,1,1,0,0,0,1,0,1,0,0,0
31,97130,10.0,17,2,10,1.0,9,8,5,0,0,0,1,1,1,0,0,0,1,0,1,0,1,0,0,0
39,20620,21.0,13,19,21,1.0,3,13,4,0,0,0,1,1,0,0,1,0,1,0,1,0,1,0,0,0
39,42840,12.0,17,1,1,4.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0
33,47880,9.0,11,4,7,3.0,1,0,0,0,1,0,1,0,1,0,1,0,0,0,1,0,1,0,0,0
47,59060,21.0,23,4,3,4.0,1,1,4,0,0,0,0,1,1,1,0,0,0,0,1,0,1,0,0,0
43,38860,9.0,17,14,9,1.0,0,0,2,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0
27,168230,6.0,17,2,5,0.0,4,1,3,0,0,0,0,1,1,0,0,0,1,1,1,0,1,0,1,0
54,29330,20.0,12,1,4,3.0,3,0,2,0,1,0,1,0,1,1,0,0,0,0,1,0,1,0,0,0
43,65000,10.0,23,7,1,8.0,0,0,3,0,0,1,0,0,1,0,0,0,1,0,1,0,1,0,0,0
45,171740,12.0,14,3,10,9.0,8,9,6,0,0,0,0,1,0,1,1,0,0,0,1,0,1,0,0,0
40,50330,6.0,14,2,4,2.0,2,0,6,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0
29,23070,7.0,13,29,7,1.0,7,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0
29,25870,4.0,22,8,3,0.0,2,2,3,0,1,0,0,1,0,0,1,0,0,0,1,1,1,0,0,0
30,55070,10.0,12,10,10,1.0,2,1,2,0,0,0,0,1,1,1,0,0,0,0,1,0,1,0,0,0
27,43930,8.0,18,11,8,1.0,7,0,2,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0,0,0
37,133480,8.0,14,1,6,7.0,4,0,4,0,0,0,0,0,1,1,1,0,0,0,1,0,1,0,0,0
38,65830,12.0,12,28,11,0.0,9,2,1,0,0,0,0,1,0,0,1,0,1,0,1,0,1,0,0,0
31,81030,11.0,15,6,11,1.0,10,4,5,0,1,0,0,1,0,0,1,0,1,0,1,0,1,0,0,0
